ano,sigla_uf,id_municipio,populacao
2019,GO,5200050,8773
2020,GO,5200050,8958
2021,GO,5200050,9158
2019,GO,5200100,20042
2020,GO,5200100,20461
2021,GO,5200100,20873
2019,GO,5200134,22366
2020,GO,5200134,22546
2021,GO,5200134,22710
2019,GO,5200159,2516
2020,GO,5200159,2516
2021,GO,5200159,2515
2019,GO,5200175,5735
2020,GO,5200175,5793
2021,GO,5200175,5843
2019,GO,5200209,1850
2020,GO,5200209,1830
2021,GO,5200209,1809
2019,GO,5200258,212440
2020,GO,5200258,217698
2021,GO,5200258,222850
2019,GO,5200308,27653
2020,GO,5200308,28010
2021,GO,5200308,28360
2019,GO,5200506,1995
2020,GO,5200506,1986
2021,GO,5200506,1976
2019,GO,5200555,6414
2020,GO,5200555,6605
2021,GO,5200555,6796
2019,GO,5200605,7624
2020,GO,5200605,7688
2021,GO,5200605,7751
2019,GO,5200803,8660
2020,GO,5200803,8705
2021,GO,5200803,8749
2019,GO,5200829,3812
2020,GO,5200829,3845
2021,GO,5200829,3875
2019,GO,5200852,6111
2020,GO,5200852,6164
2021,GO,5200852,6220
2019,GO,5200902,3126
2020,GO,5200902,3069
2021,GO,5200902,3011
2019,GO,5201108,386923
2020,GO,5201108,391772
2021,GO,5201108,396526
2019,GO,5201207,1149
2020,GO,5201207,1160
2021,GO,5201207,1171
2019,GO,5201306,21850
2020,GO,5201306,21981
2021,GO,5201306,22113
2019,GO,5201405,578179
2020,GO,5201405,590146
2021,GO,5201405,601844
2019,GO,5201454,2474
2020,GO,5201454,2474
2021,GO,5201454,2474
2019,GO,5201504,4198
2020,GO,5201504,4232
2021,GO,5201504,4266
2019,GO,5201603,3522
2020,GO,5201603,3486
2021,GO,5201603,3450
2019,GO,5201702,20118
2020,GO,5201702,20273
2021,GO,5201702,20410
2019,GO,5201801,10308
2020,GO,5201801,10496
2021,GO,5201801,10680
2019,GO,5202155,7770
2020,GO,5202155,7783
2021,GO,5202155,7795
2019,GO,5202353,2612
2020,GO,5202353,2536
2021,GO,5202353,2462
2019,GO,5202502,9875
2020,GO,5202502,10110
2021,GO,5202502,10340
2019,GO,5202601,3120
2020,GO,5202601,3058
2021,GO,5202601,3000
2019,GO,5202809,2417
2020,GO,5202809,2409
2021,GO,5202809,2401
2019,GO,5203104,5138
2020,GO,5203104,5280
2021,GO,5203104,5418
2019,GO,5203203,11167
2020,GO,5203203,11408
2021,GO,5203203,11643
2019,GO,5203302,29975
2020,GO,5203302,30492
2021,GO,5203302,31004
2019,GO,5203401,8841
2020,GO,5203401,8869
2021,GO,5203401,8912
2019,GO,5203500,25216
2020,GO,5203500,25648
2021,GO,5203500,26069
2019,GO,5203559,9706
2020,GO,5203559,9919
2021,GO,5203559,10120
2019,GO,5203575,4405
2020,GO,5203575,4493
2021,GO,5203575,4579
2019,GO,5203609,3703
2020,GO,5203609,3746
2021,GO,5203609,3812
2019,GO,5203807,5779
2020,GO,5203807,5797
2021,GO,5203807,5815
2019,GO,5203906,9459
2020,GO,5203906,9484
2021,GO,5203906,9515
2019,GO,5203939,2488
2020,GO,5203939,2476
2021,GO,5203939,2464
2019,GO,5203962,3292
2020,GO,5203962,3283
2021,GO,5203962,3272
2019,GO,5204003,7993
2020,GO,5204003,8046
2021,GO,5204003,8098
2019,GO,5204102,12484
2020,GO,5204102,12666
2021,GO,5204102,12843
2019,GO,5204201,1351
2020,GO,5204201,1342
2021,GO,5204201,1336
2019,GO,5204250,8067
2020,GO,5204250,8031
2021,GO,5204250,7997
2019,GO,5204300,16009
2020,GO,5204300,16270
2021,GO,5204300,16525
2019,GO,5204409,18913
2020,GO,5204409,19107
2021,GO,5204409,19304
