;COMPETEN;MUNICIPIO;CODUFMUN;QT_SUS;QT_EXIST;ANO
0;2020-03-01;Catalão;520510;0;12;2020
1;2020-03-01;Goiânia;520870;0;70;2020
2;2020-03-01;Porangatu;521800;0;24;2020
3;2020-04-01;Anápolis;520110;0;15;2020
4;2020-04-01;Aparecida de Goiânia;520140;30;58;2020
5;2020-04-01;Catalão;520510;12;12;2020
6;2020-04-01;Goiânia;520870;52;140;2020
7;2020-04-01;Jataí;521190;10;10;2020
8;2020-04-01;Planaltina;521760;0;10;2020
9;2020-04-01;Porangatu;521800;0;24;2020
10;2020-04-01;Rio Verde;521880;0;20;2020
11;2020-05-01;Águas Lindas de Goiás;520025;0;10;2020
12;2020-05-01;Trindade;522140;0;6;2020
13;2020-05-01;Porangatu;521800;15;24;2020
14;2020-05-01;Planaltina;521760;0;10;2020
15;2020-05-01;Jataí;521190;10;10;2020
16;2020-05-01;Catalão;520510;12;31;2020
17;2020-05-01;Goiás;520890;0;5;2020
18;2020-05-01;Aparecida de Goiânia;520140;30;58;2020
19;2020-05-01;Anápolis;520110;0;15;2020
20;2020-05-01;Goiânia;520870;72;140;2020
21;2020-06-01;Porangatu;521800;15;24;2020
22;2020-06-01;Águas Lindas de Goiás;520025;0;10;2020
23;2020-06-01;Trindade;522140;0;6;2020
24;2020-06-01;Senador Canedo;522045;0;1;2020
25;2020-06-01;Rio Verde;521880;0;20;2020
26;2020-06-01;Jataí;521190;10;10;2020
27;2020-06-01;Aparecida de Goiânia;520140;30;58;2020
28;2020-06-01;Goiânia;520870;72;261;2020
29;2020-06-01;Goiás;520890;0;5;2020
30;2020-06-01;Catalão;520510;12;31;2020
31;2020-06-01;Anápolis;520110;0;15;2020
32;2020-06-01;Itumbiara;521150;0;19;2020
33;2020-07-01;Jataí;521190;10;10;2020
34;2020-07-01;Luziânia;521250;10;10;2020
35;2020-07-01;Piracanjuba;521710;0;6;2020
36;2020-07-01;Porangatu;521800;15;29;2020
37;2020-07-01;Rio Verde;521880;0;20;2020
38;2020-07-01;São João d'Aliança;522000;0;4;2020
39;2020-07-01;São Luís de Montes Belos;522010;11;11;2020
40;2020-07-01;Trindade;522140;6;6;2020
41;2020-07-01;Águas Lindas de Goiás;520025;0;32;2020
42;2020-07-01;Itumbiara;521150;0;29;2020
43;2020-07-01;Senador Canedo;522045;0;1;2020
44;2020-07-01;Inhumas;521000;0;2;2020
45;2020-07-01;Aparecida de Goiânia;520140;40;68;2020
46;2020-07-01;Goiás;520890;0;5;2020
47;2020-07-01;Formosa;520800;10;10;2020
48;2020-07-01;Chapadão do Céu;520547;0;5;2020
49;2020-07-01;Ceres;520540;0;10;2020
50;2020-07-01;Cavalcante;520530;0;3;2020
51;2020-07-01;Catalão;520510;12;39;2020
52;2020-07-01;Campos Belos;520490;0;3;2020
53;2020-07-01;Caldas Novas;520450;0;28;2020
54;2020-07-01;Cachoeira Alta;520410;0;5;2020
55;2020-07-01;Anápolis;520110;15;33;2020
56;2020-07-01;Goiânia;520870;98;296;2020
57;2020-08-01;Jataí;521190;0;10;2020
58;2020-08-01;Luziânia;521250;10;10;2020
59;2020-08-01;Paranaiguara;521630;0;1;2020
60;2020-08-01;Piracanjuba;521710;0;6;2020
61;2020-08-01;Porangatu;521800;15;29;2020
62;2020-08-01;Águas Lindas de Goiás;520025;0;40;2020
63;2020-08-01;Senador Canedo;522045;0;1;2020
64;2020-08-01;São João d'Aliança;522000;0;4;2020
65;2020-08-01;São Luís de Montes Belos;522010;11;11;2020
66;2020-08-01;Trindade;522140;6;8;2020
67;2020-08-01;Itumbiara;521150;0;29;2020
68;2020-08-01;Rio Verde;521880;20;40;2020
69;2020-08-01;Itaberaí;521040;0;3;2020
70;2020-08-01;Ceres;520540;0;10;2020
71;2020-08-01;Goiânia;520870;121;331;2020
72;2020-08-01;Anápolis;520110;15;33;2020
73;2020-08-01;Aparecida de Goiânia;520140;40;68;2020
74;2020-08-01;Cachoeira Alta;520410;0;5;2020
75;2020-08-01;Caldas Novas;520450;0;28;2020
76;2020-08-01;Campos Belos;520490;0;3;2020
77;2020-08-01;Catalão;520510;12;39;2020
78;2020-08-01;Inhumas;521000;0;2;2020
79;2020-08-01;Chapadão do Céu;520547;0;5;2020
80;2020-08-01;Formosa;520800;10;10;2020
81;2020-08-01;Goiatuba;520910;0;4;2020
82;2020-08-01;Goiás;520890;0;5;2020
83;2020-08-01;Cavalcante;520530;0;3;2020
84;2020-09-01;Águas Lindas de Goiás;520025;22;50;2020
85;2020-09-01;Luziânia;521250;10;10;2020
86;2020-09-01;Mineiros;521310;10;10;2020
87;2020-09-01;Nazário;521440;0;1;2020
88;2020-09-01;Paranaiguara;521630;0;1;2020
89;2020-09-01;Piracanjuba;521710;0;6;2020
90;2020-09-01;Rio Verde;521880;40;40;2020
91;2020-09-01;Porangatu;521800;15;29;2020
92;2020-09-01;Senador Canedo;522045;0;1;2020
93;2020-09-01;São João d'Aliança;522000;0;4;2020
94;2020-09-01;São Luís de Montes Belos;522010;11;11;2020
95;2020-09-01;Jataí;521190;10;10;2020
96;2020-09-01;Planaltina;521760;0;8;2020
97;2020-09-01;Trindade;522140;6;8;2020
98;2020-09-01;Jaraguá;521180;0;10;2020
99;2020-09-01;Itaberaí;521040;0;3;2020
100;2020-09-01;Itumbiara;521150;0;29;2020
101;2020-09-01;Anápolis;520110;15;33;2020
102;2020-09-01;Aparecida de Goiânia;520140;40;133;2020
103;2020-09-01;Cachoeira Alta;520410;0;5;2020
104;2020-09-01;Campos Belos;520490;0;3;2020
105;2020-09-01;Catalão;520510;8;39;2020
106;2020-09-01;Caldas Novas;520450;0;28;2020
107;2020-09-01;Ceres;520540;0;10;2020
108;2020-09-01;Chapadão do Céu;520547;0;5;2020
109;2020-09-01;Formosa;520800;10;13;2020
110;2020-09-01;Goiás;520890;0;5;2020
111;2020-09-01;Goiânia;520870;221;346;2020
112;2020-09-01;Inhumas;521000;0;2;2020
113;2020-09-01;Cavalcante;520530;0;3;2020
114;2020-10-01;Piracanjuba;521710;6;6;2020
115;2020-10-01;Luziânia;521250;10;10;2020
116;2020-10-01;Mineiros;521310;10;10;2020
117;2020-10-01;Nazário;521440;0;1;2020
118;2020-10-01;Paranaiguara;521630;0;1;2020
119;2020-10-01;Planaltina;521760;0;8;2020
120;2020-10-01;Jataí;521190;10;10;2020
121;2020-10-01;Rio Verde;521880;20;40;2020
122;2020-10-01;Senador Canedo;522045;0;16;2020
123;2020-10-01;São João d'Aliança;522000;0;4;2020
124;2020-10-01;São Luís de Montes Belos;522010;11;11;2020
125;2020-10-01;Trindade;522140;6;8;2020
126;2020-10-01;Águas Lindas de Goiás;520025;0;50;2020
127;2020-10-01;Porangatu;521800;15;29;2020
128;2020-10-01;Jaraguá;521180;0;10;2020
129;2020-10-01;Goiânia;520870;221;346;2020
130;2020-10-01;Itaberaí;521040;0;3;2020
131;2020-10-01;Aparecida de Goiânia;520140;10;133;2020
132;2020-10-01;Cachoeira Alta;520410;0;5;2020
133;2020-10-01;Caldas Novas;520450;0;28;2020
134;2020-10-01;Campos Belos;520490;0;3;2020
135;2020-10-01;Catalão;520510;20;39;2020
136;2020-10-01;Cavalcante;520530;0;3;2020
137;2020-10-01;Anápolis;520110;15;21;2020
138;2020-10-01;Chapadão do Céu;520547;0;5;2020
139;2020-10-01;Ceres;520540;0;6;2020
140;2020-10-01;Inhumas;521000;0;6;2020
141;2020-10-01;Itumbiara;521150;20;30;2020
142;2020-10-01;Goiás;520890;0;5;2020
143;2020-10-01;Formosa;520800;5;13;2020
144;2020-11-01;Jaraguá;521180;10;10;2020
145;2020-11-01;São Luís de Montes Belos;522010;11;11;2020
146;2020-11-01;São João d'Aliança;522000;0;4;2020
147;2020-11-01;Senador Canedo;522045;0;16;2020
148;2020-11-01;Porangatu;521800;15;29;2020
149;2020-11-01;Planaltina;521760;0;8;2020
150;2020-11-01;Piracanjuba;521710;6;6;2020
151;2020-11-01;Paranaiguara;521630;0;1;2020
152;2020-11-01;Nazário;521440;0;1;2020
153;2020-11-01;Mineiros;521310;10;10;2020
154;2020-11-01;Luziânia;521250;10;10;2020
155;2020-11-01;Jataí;521190;0;10;2020
156;2020-11-01;Trindade;522140;0;8;2020
157;2020-11-01;Rio Verde;521880;20;40;2020
158;2020-11-01;Itumbiara;521150;20;30;2020
159;2020-11-01;Inhumas;521000;0;6;2020
160;2020-11-01;Itaberaí;521040;0;3;2020
161;2020-11-01;Anápolis;520110;0;21;2020
162;2020-11-01;Aparecida de Goiânia;520140;55;133;2020
163;2020-11-01;Cachoeira Alta;520410;0;5;2020
164;2020-11-01;Campos Belos;520490;0;3;2020
165;2020-11-01;Catalão;520510;13;39;2020
166;2020-11-01;Caldas Novas;520450;0;28;2020
