;COMPETEN;MUNICIPIO;CODUFMUN;QT_SUS;QT_EXIST;ANO
0;2019-01-01;Anápolis;520110;81;110;2019
1;2019-01-01;São Luís de Montes Belos;522010;0;9;2019
2;2019-01-01;Senador Canedo;522045;8;10;2019
3;2019-01-01;Santa Helena de Goiás;521930;20;20;2019
4;2019-01-01;Rio Verde;521880;18;48;2019
5;2019-01-01;Quirinópolis;521850;0;11;2019
6;2019-01-01;Mineiros;521310;0;10;2019
7;2019-01-01;Luziânia;521250;0;5;2019
8;2019-01-01;Jataí;521190;6;20;2019
9;2019-01-01;Itumbiara;521150;10;10;2019
10;2019-01-01;Nerópolis;521450;23;50;2019
11;2019-01-01;Goiânia;520870;475;906;2019
12;2019-01-01;Goiás;520890;10;10;2019
13;2019-01-01;Goianésia;520860;5;10;2019
14;2019-01-01;Formosa;520800;0;12;2019
15;2019-01-01;Ceres;520540;4;19;2019
16;2019-01-01;Catalão;520510;15;34;2019
17;2019-01-01;Caldas Novas;520450;0;20;2019
18;2019-01-01;Aparecida de Goiânia;520140;61;109;2019
19;2019-01-01;Inhumas;521000;9;11;2019
20;2019-02-01;Luziânia;521250;0;5;2019
21;2019-02-01;Mineiros;521310;0;10;2019
22;2019-02-01;Nerópolis;521450;23;50;2019
23;2019-02-01;Quirinópolis;521850;0;11;2019
24;2019-02-01;São Luís de Montes Belos;522010;0;9;2019
25;2019-02-01;Santa Helena de Goiás;521930;20;20;2019
26;2019-02-01;Senador Canedo;522045;8;10;2019
27;2019-02-01;Jataí;521190;6;20;2019
28;2019-02-01;Rio Verde;521880;18;48;2019
29;2019-02-01;Itumbiara;521150;10;10;2019
30;2019-02-01;Ceres;520540;4;19;2019
31;2019-02-01;Goiânia;520870;475;906;2019
32;2019-02-01;Inhumas;521000;9;11;2019
33;2019-02-01;Aparecida de Goiânia;520140;61;109;2019
34;2019-02-01;Caldas Novas;520450;0;20;2019
35;2019-02-01;Catalão;520510;20;34;2019
36;2019-02-01;Anápolis;520110;75;104;2019
37;2019-02-01;Formosa;520800;0;12;2019
38;2019-02-01;Goianésia;520860;5;10;2019
39;2019-02-01;Goiás;520890;10;10;2019
40;2019-03-01;São Luís de Montes Belos;522010;0;9;2019
41;2019-03-01;Senador Canedo;522045;8;10;2019
42;2019-03-01;Santa Helena de Goiás;521930;20;20;2019
43;2019-03-01;Rio Verde;521880;18;48;2019
44;2019-03-01;Quirinópolis;521850;0;11;2019
45;2019-03-01;Mineiros;521310;0;10;2019
46;2019-03-01;Luziânia;521250;0;5;2019
47;2019-03-01;Jataí;521190;6;20;2019
48;2019-03-01;Itumbiara;521150;10;10;2019
49;2019-03-01;Nerópolis;521450;23;50;2019
50;2019-03-01;Goiânia;520870;475;934;2019
51;2019-03-01;Aparecida de Goiânia;520140;61;109;2019
52;2019-03-01;Caldas Novas;520450;0;20;2019
53;2019-03-01;Catalão;520510;20;34;2019
54;2019-03-01;Ceres;520540;4;19;2019
55;2019-03-01;Anápolis;520110;81;110;2019
56;2019-03-01;Formosa;520800;0;12;2019
57;2019-03-01;Goianésia;520860;5;10;2019
58;2019-03-01;Goiás;520890;10;10;2019
59;2019-03-01;Inhumas;521000;9;11;2019
60;2019-04-01;Jataí;521190;6;20;2019
61;2019-04-01;Senador Canedo;522045;8;10;2019
62;2019-04-01;Santa Helena de Goiás;521930;20;20;2019
63;2019-04-01;Rio Verde;521880;18;48;2019
64;2019-04-01;Quirinópolis;521850;0;11;2019
65;2019-04-01;Nerópolis;521450;23;50;2019
66;2019-04-01;Mineiros;521310;0;10;2019
67;2019-04-01;Luziânia;521250;0;5;2019
68;2019-04-01;Itumbiara;521150;10;10;2019
69;2019-04-01;São Luís de Montes Belos;522010;0;9;2019
70;2019-04-01;Goiânia;520870;475;934;2019
71;2019-04-01;Anápolis;520110;81;110;2019
72;2019-04-01;Aparecida de Goiânia;520140;61;109;2019
73;2019-04-01;Caldas Novas;520450;0;20;2019
74;2019-04-01;Catalão;520510;20;34;2019
75;2019-04-01;Inhumas;521000;9;11;2019
76;2019-04-01;Formosa;520800;0;12;2019
77;2019-04-01;Goianésia;520860;5;10;2019
78;2019-04-01;Goiás;520890;10;10;2019
79;2019-04-01;Ceres;520540;4;19;2019
80;2019-05-01;Itumbiara;521150;10;10;2019
81;2019-05-01;Senador Canedo;522045;8;10;2019
82;2019-05-01;Santa Helena de Goiás;521930;20;20;2019
83;2019-05-01;Rio Verde;521880;18;48;2019
84;2019-05-01;Quirinópolis;521850;0;11;2019
85;2019-05-01;Nerópolis;521450;23;50;2019
