;ANO;CODUFMUN;POPULACAO
0;2019;520005;8773
1;2020;520005;8958
2;2021;520005;9158
3;2022;520005;19141
4;2019;520010;20042
5;2020;520010;20461
6;2021;520010;20873
7;2022;520010;15498
8;2019;520013;22366
9;2020;520013;22546
10;2021;520013;22710
11;2022;520013;20506
12;2019;520015;2516
13;2020;520015;2516
14;2021;520015;2515
15;2022;520015;2393
16;2019;520017;5735
17;2020;520017;5793
18;2021;520017;5843
19;2022;520017;5546
20;2019;520020;1850
21;2020;520020;1830
22;2021;520020;1809
23;2022;520020;1853
24;2019;520025;212440
25;2020;520025;217698
26;2021;520025;222850
27;2022;520025;208892
28;2019;520030;27653
29;2020;520030;28010
30;2021;520030;28360
31;2022;520030;28690
32;2019;520050;1995
33;2020;520050;1986
34;2021;520050;1976
35;2022;520050;1891
36;2019;520055;6414
37;2020;520055;6605
38;2021;520055;6796
39;2022;520055;6061
40;2019;520060;7624
41;2020;520060;7688
42;2021;520060;7751
43;2022;520060;10414
44;2019;520080;8660
45;2020;520080;8705
46;2021;520080;8749
47;2022;520080;8412
48;2019;520082;3812
49;2020;520082;3845
50;2021;520082;3875
51;2022;520082;3796
52;2019;520085;6111
53;2020;520085;6164
54;2021;520085;6220
55;2022;520085;4937
56;2019;520090;3126
57;2020;520090;3069
58;2021;520090;3011
59;2022;520090;2982
60;2019;520110;386923
61;2020;520110;391772
62;2021;520110;396526
63;2022;520110;393417
64;2019;520120;1149
65;2020;520120;1160
66;2021;520120;1171
67;2022;520120;927
68;2019;520130;21850
69;2020;520130;21981
70;2021;520130;22113
71;2022;520130;19762
72;2019;520140;578179
73;2020;520140;590146
74;2021;520140;601844
75;2022;520140;500760
76;2019;520145;2474
77;2020;520145;2474
78;2021;520145;2474
79;2022;520145;2918
80;2019;520150;4198
81;2020;520150;4232
82;2021;520150;4266
83;2022;520150;4067
84;2019;520160;3522
85;2020;520160;3486
86;2021;520160;3450
87;2022;520160;3859
88;2019;520170;20118
89;2020;520170;20273
90;2021;520170;20410
91;2022;520170;18096
92;2019;520180;10308
93;2020;520180;10496
94;2021;520180;10680
95;2022;520180;11614
96;2019;520215;7770
97;2020;520215;7783
98;2021;520215;7795
99;2022;520215;6986
100;2019;520235;2612
101;2020;520235;2536
102;2021;520235;2462
103;2022;520235;2964
104;2019;520250;9875
105;2020;520250;10110
106;2021;520250;10340
107;2022;520250;8139
